trial_id,U_exp,K_exp,D_exp,base_level_fall,divide_migration_distance,relief_at_steady_state,time_back_to_steady_state
2275,-4.0830078125,-5.4736328125,-1.2841796875,-0.44482421875,0.0,232.549418592,4767000
2276,-4.0830078125,-6.8193359375,-1.0400390625,-0.44482421875,0.0,3878.10398823,47567000
2277,-4.7529296875,-5.4736328125,-1.0400390625,-0.44482421875,0.0,37.0989865775,10966000
2278,-4.7529296875,-6.8193359375,-1.2841796875,-0.44482421875,0.0,901.702719089,56464000
2279,-4.7529296875,-6.8193359375,-1.0400390625,-0.48876953125,0.0,826.137979925,47396000
2280,-4.7529296875,-6.8193359375,-1.0400390625,-0.44482421875,0.0,826.137979925,47396000
2281,-4.3330078125,-6.2236328125,-1.5341796875,-0.86376953125,0.0,807.458412022,19717000
2282,-4.5029296875,-6.2236328125,-1.5341796875,-0.86376953125,0.0,553.1324351019999,19999000
2283,-4.3330078125,-6.0693359375,-1.5341796875,-0.86376953125,0.0,579.38682836,14563000
2284,-4.3330078125,-6.2236328125,-2.2900390625,-0.86376953125,0.0,958.681559565,22858000
2285,-4.3330078125,-6.2236328125,-1.5341796875,0.68017578125,0.0,807.458412022,19717000
2286,-4.3330078125,-6.0693359375,-2.2900390625,0.68017578125,0.0,666.410688687,16408000
2287,-4.5029296875,-6.2236328125,-2.2900390625,0.68017578125,0.0,654.158161599,23115000
2288,-4.5029296875,-6.0693359375,-1.5341796875,0.68017578125,0.0,392.48486215599996,14598000
2289,-4.5029296875,-6.0693359375,-2.2900390625,-0.86376953125,0.0,468.94004469099997,17089000
2290,-4.5029296875,-6.0693359375,-2.2900390625,0.68017578125,0.0,468.94004469099997,17089000
2291,-3.3330078125,-5.2236328125,-2.5341796875,0.63623046875,0.0,658.170307081,7139000
2292,-3.5029296875,-5.2236328125,-2.5341796875,0.63623046875,0.0,489.566668807,3349000
2293,-3.3330078125,-5.0693359375,-2.5341796875,0.63623046875,0.0,464.32511224300004,17136000
2294,-3.3330078125,-5.2236328125,-1.2900390625,0.63623046875,0.0,618.124918567,5532000
2295,-3.3330078125,-5.2236328125,-2.5341796875,-0.81982421875,0.0,658.170307081,7139000
2296,-3.3330078125,-5.0693359375,-1.2900390625,-0.81982421875,0.0,441.67426125800006,5064000
2297,-3.5029296875,-5.2236328125,-1.2900390625,-0.81982421875,0.0,416.47899739900004,5959000
2298,-3.5029296875,-5.0693359375,-2.5341796875,-0.81982421875,0.0,311.115588397,6681000
2299,-3.5029296875,-5.0693359375,-1.2900390625,0.63623046875,100.0,300.38827000000003,5849000
2300,-3.5029296875,-5.0693359375,-1.2900390625,-0.81982421875,0.0,300.38827000000003,4831000
2301,-3.8330078125,-6.7236328125,-1.0341796875,-0.11376953125,0.0,6187.94750415,43651000
2302,-3.0029296875,-6.7236328125,-1.0341796875,-0.11376953125,0.0,47830.359575300005,60211000
2303,-3.8330078125,-5.5693359375,-1.0341796875,-0.11376953125,0.0,483.33694429199994,5251000
2304,-3.8330078125,-6.7236328125,-2.7900390625,-0.11376953125,0.0,7469.72485308,50949000
2305,-3.8330078125,-6.7236328125,-1.0341796875,-0.06982421875,0.0,6187.94750415,43651000
2306,-3.8330078125,-5.5693359375,-2.7900390625,-0.06982421875,0.0,474.259668304,9251000
2307,-3.0029296875,-6.7236328125,-2.7900390625,-0.06982421875,0.0,50502.74667669999,50946000
2308,-3.0029296875,-5.5693359375,-1.0341796875,-0.06982421875,0.0,2983.19038373,4976000
2309,-3.0029296875,-5.5693359375,-2.7900390625,-0.11376953125,0.0,4111.67157173,6113000
2310,-3.0029296875,-5.5693359375,-2.7900390625,-0.06982421875,0.0,4111.67157173,6113000
2311,-4.8330078125,-5.7236328125,-2.0341796875,1.38623046875,0.0,95.9560542194,8514000
2312,-4.0029296875,-5.7236328125,-2.0341796875,1.38623046875,0.0,605.737792,8063000
2313,-4.8330078125,-6.5693359375,-2.0341796875,1.38623046875,-100.0,598.955290609,45982000
2314,-4.8330078125,-5.7236328125,-1.7900390625,1.38623046875,100.0,59.2995833982,16605000
2315,-4.8330078125,-5.7236328125,-2.0341796875,1.43017578125,0.0,95.9560542194,8514000
2316,-4.8330078125,-6.5693359375,-1.7900390625,1.43017578125,0.0,552.67213138,43236000
